"Position","Ticker Symbol-5","Earnings Time-5"
1,"ENB","bmo"
2,"AAP","bmo"
3,"TRP","bmo"
4,"CCJ","bmo"
5,"MGA","bmo"
6,"WEN","bmo"
7,"CBL","--"
8,"ESNT","bmo"
9,"MRNA","bmo"
10,"WTER","--"
11,"MMI","bmo"
12,"HESAY","--"
13,"SAFRY","--"
14,"TKOMY","--"
15,"NWG","bmo"
16,"MSADY","--"
17,"SMPNY","--"
18,"SMCAY","--"
19,"HRNNF","bmo"
20,"NHYDY","bmo"
21,"ASCCY","--"
22,"KNBWY","--"
23,"ISUZY","--"
24,"DNPLY","--"
25,"SBHGF","--"
26,"CIGI","bmo"
27,"ATMU","bmo"
28,"ACDVF","bmo"
29,"SXT","bmo"
30,"SOHVY","--"
31,"XXI","--"
32,"AMDLY","--"
33,"CSIOY","--"
34,"PORBF","--"
35,"THS","--"
36,"PGENY","--"
37,"DCH","bmo"
38,"TMQ","--"
39,"RR","--"
40,"CMDB","--"
41,"BNTC","--"
42,"QDMI","--"
43,"GIG","--"
44,"AIRO","--"
45,"CEPO","--"
46,"USBC","--"
47,"NUTR","--"
48,"WHG","amc"
49,"BNCC","--"
50,"CNRD","--"
51,"SOMC","--"
52,"ALYAF","bmo"
53,"BSBK","--"
54,"CTOR","--"
55,"IXHL","--"
56,"CPTP","--"
57,"FGNX","--"
58,"SCLX","--"
59,"NSRCF","--"
60,"SUUN","--"
61,"FORA","--"
62,"INTG","--"
63,"CLPR","--"
64,"PXHI","--"
65,"JANL","--"
66,"ARAI","--"
67,"CVM","--"
68,"FARM","amc"
69,"SAFX","--"
70,"SEV","--"
71,"HRGN","--"
72,"OMCC","--"
73,"OTLK","--"
74,"SCIA","--"
75,"IGC","--"
76,"NEUP","--"
77,"BTOC","--"
78,"NAII","--"
79,"NNVC","--"
80,"ANEB","--"
81,"SGRP","--"
82,"CTXR","--"
83,"ITRM","--"
84,"BNET","--"
85,"UUU","--"
86,"PCSV","--"
87,"BRN","--"
88,"CETX","--"
89,"WCFB","--"
90,"IQST","--"
91,"LSH","--"
92,"EDSA","--"
93,"XAIR","bmo"
94,"TWSI","--"
95,"CRTD","--"
96,"MSN","--"
97,"TGL","--"
98,"RVYL","--"
99,"APVO","--"
100,"SONM","--"
101,"RSAU","--"
102,"ASTC","--"
103,"FUNI","--"
104,"ATXG","--"
105,"GLUC","--"
106,"VAPR","--"
107,"SBLX","--"
108,"AIHS","--"
109,"TRCK","--"
110,"ECIA","--"
111,"GP","--"
112,"ALBT","--"
113,"PPCB","--"
114,"DFSC","--"
115,"MWAI","--"
116,"RIHT","--"
117,"APLIF","--"
118,"OILCF","--"
119,"TRNR","--"
120,"LBUY","--"
121,"ESMC","--"
122,"ZCAR","--"
123,"XAGE","--"
124,"FITY","--"
125,"STTX","--"
126,"HGAS","--"
127,"SISI","--"
128,"DYNTQ","--"
129,"BLMZF","--"
130,"NXEN","--"
131,"KRBPQ","--"
132,"DHAI","--"
133,"BYOC","--"
134,"CBLAQ","--"
135,"FJTSY","--"
136,"PRSI","--"
137,"GTLL","--"
138,"NPCPF","--"
139,"FKWL","--"
