"_STATUS","Position","Ticker Symbol","_PREV_Ticker Symbol","Earnings Time","_PREV_Earnings Time","_PREV_Position"
"CHANGED",1,"OTTR","CLF","amc","bmo",
"CHANGED",2,"BRDCY","PSEC","--",,
"CHANGED",3,"BBSEY","ON","--","amc",
"CHANGED",4,"SSSGY","PETS","--",,
"CHANGED",5,"SON","BDX","amc","bmo",
"CHANGED",6,"AERO","NSP","amc","--",
"CHANGED",7,"TNC","MEDP","--","amc",
"CHANGED",8,"AHH","ICHR","amc",,
"CHANGED",9,"EHLD","PFG","--","amc",
"CHANGED",10,"GTCH","CG","--",,
"CHANGED",11,"ADTX","CHGG","--","amc",
"REMOVED",,,"APO",,"bmo",12
"REMOVED",,,"CINF",,"amc",13
"REMOVED",,,"ACM",,"amc",14
"REMOVED",,,"UPWK",,"amc",15
"REMOVED",,,"SBH",,"bmo",16
"REMOVED",,,"BRX",,"amc",17
"REMOVED",,,"AMKR",,"amc",18
"REMOVED",,,"SPSC",,"--",19
"REMOVED",,,"CMCO",,"amc",20
"REMOVED",,,"MTW",,"amc",21
"REMOVED",,,"L",,"bmo",22
"REMOVED",,,"PFLT",,"amc",23
"REMOVED",,,"DBSDY",,"--",24
"REMOVED",,,"CRWV",,"--",25
"REMOVED",,,"IX",,"bmo",26
"REMOVED",,,"ACGL",,"amc",27
"REMOVED",,,"TPG",,"bmo",28
"REMOVED",,,"OBYCF",,"--",29
"REMOVED",,,"CRBG",,"amc",30
"REMOVED",,,"GRSXY",,"--",31
"REMOVED",,,"CNA",,"bmo",32
"REMOVED",,,"DT",,"bmo",33
"REMOVED",,,"AMTM",,"amc",34
"REMOVED",,,"SSD",,"amc",35
"REMOVED",,,"SSDOY",,"--",36
"REMOVED",,,"VNO",,"amc",37
"REMOVED",,,"FRMI",,"--",38
"REMOVED",,,"MNDY",,"bmo",39
"REMOVED",,,"KD",,"bmo",40
"REMOVED",,,"OMRNY",,"--",41
"REMOVED",,,"KRC",,"amc",42
"REMOVED",,,"SVM",,"amc",43
"REMOVED",,,"GTM",,"amc",44
"REMOVED",,,"CURB",,"bmo",45
"REMOVED",,,"NTB",,"amc",46
"REMOVED",,,"DAC",,"amc",47
"REMOVED",,,"PGY",,"bmo",48
"REMOVED",,,"WACLY",,"--",49
"REMOVED",,,"ALX",,"bmo",50
"REMOVED",,,"INR",,"--",51
"REMOVED",,,"GEMI",,"--",52
"REMOVED",,,"UTL",,"amc",53
"REMOVED",,,"EPC",,"bmo",54
"REMOVED",,,"CRESY",,"--",55
"REMOVED",,,"AIOT",,"bmo",56
"REMOVED",,,"SOHU",,"bmo",57
"REMOVED",,,"PNNT",,"amc",58
"REMOVED",,,"EVI",,"--",59
"REMOVED",,,"ENTA",,"--",60
"REMOVED",,,"HELP",,"--",61
"REMOVED",,,"RLGT",,"--",62
"REMOVED",,,"PAL",,"amc",63
"REMOVED",,,"MPAA",,"--",64
"REMOVED",,,"SVCC",,"--",65
"REMOVED",,,"RGCO",,"amc",66
"REMOVED",,,"RICK",,"--",67
"REMOVED",,,"ANTA",,"--",68
"REMOVED",,,"POWW",,"bmo",69
"REMOVED",,,"QIPT",,"--",70
"REMOVED",,,"CSPI",,"--",71
"REMOVED",,,"HAIN",,"bmo",72
"REMOVED",,,"OPXS",,"--",73
"REMOVED",,,"FFBW",,"--",74
"REMOVED",,,"IBIO",,"--",75
"REMOVED",,,"JRSH",,"bmo",76
"REMOVED",,,"ASTI",,"--",77
"REMOVED",,,"ARKR",,"--",78
"REMOVED",,,"AMLM",,"--",79
"REMOVED",,,"AMTY",,"--",80
"REMOVED",,,"LUVU",,"--",81
