"_STATUS","Position","Ticker Symbol-2","_PREV_Ticker Symbol-2","Earnings Time-2","_PREV_Earnings Time-2","_PREV_Position"
"CHANGED",1,"ET","F","bmo","amc",
"CHANGED",2,"PANW","CVS","amc","bmo",
"CHANGED",3,"MDT","BP","bmo",,
"CHANGED",4,"HUN","GILD","amc",,
"CHANGED",5,"GLDD","KO","--","bmo",
"CHANGED",6,"MED","EXEL","amc",,
"CHANGED",7,"FE","DUK","amc","bmo",
"CHANGED",8,"NEO","CRSP","bmo","--",
"CHANGED",9,"DVN","ALSN","amc","--",
"CHANGED",10,"SUN","SPOT","bmo",,
"CHANGED",11,"CE","WELL","amc",,
"CHANGED",12,"PBI","DIOD","amc",,
"CHANGED",13,"CZR","WPC","amc",,
"CHANGED",14,"CDNS","EW","amc","--",
"CHANGED",15,"SXC","AZN","bmo",,
"CHANGED",16,"TOL","STAA","amc","--",
"CHANGED",17,"CRNT","AIG","bmo","amc",
"CHANGED",18,"MKSI","ANGI","amc",,
"CHANGED",19,"PEN","INCY","--","bmo",
"CHANGED",20,"MCY","MAR","amc","bmo",
"CHANGED",21,"VMC","CRNT","bmo","--",
"CHANGED",22,"RUSHA","HOG","amc","bmo",
"CHANGED",23,"DTE","LSCC","bmo","amc",
"CHANGED",24,"EQT","FISV","amc","bmo",
"CHANGED",25,"GPC","ECL","bmo",,
"CHANGED",26,"FLR","ARI","bmo","amc",
"CHANGED",27,"HL","Z","amc",,
"CHANGED",28,"RSG","ZG","amc",,
"CHANGED",29,"LPX","MAT","bmo","amc",
"CHANGED",30,"IAG","XYL","amc","bmo",
"CHANGED",31,"NGVT","AEIS","--","amc",
"CHANGED",32,"HRI","HAS","bmo",,
"CHANGED",33,"SSRM","RACE","amc","bmo",
"CHANGED",34,"LDOS","DGX","bmo",,
"CHANGED",35,"ACLS","ACRE","amc","bmo",
"CHANGED",36,"LH","EPM","bmo","amc",
"CHANGED",37,"GSM","SPGI","amc","bmo",
"CHANGED",38,"USAC","MAS","bmo",,
"CHANGED",39,"WTTR","BL","amc",,
"CHANGED",40,"ATRC","BHF","amc","--",
"CHANGED",41,"BLDR","RPD","bmo","amc",
"CHANGED",42,"CCEP","ZBH","bmo",,
"CHANGED",43,"CHCT","ENTG","amc","bmo",
"CHANGED",44,"QUAD","TDC","amc",,
"CHANGED",45,"CEG","HOOD","--","amc",
"CHANGED",46,"KVUE","NET","amc",,
"CHANGED",47,"AMRZ","OSAGF","amc","--",
"CHANGED",48,"EXE","DDOG","amc","bmo",
"CHANGED",49,"CGEMY","IFCZF","--","amc",
"CHANGED",50,"IHG","FIS","--",,
"CHANGED",51,"RBA","ALAB","amc",,
"CHANGED",52,"SGI","FQVLF","bmo","amc",
"CHANGED",53,"GMAB","SGSOY","bmo","--",
"CHANGED",54,"WSO","DD","bmo",,
"CHANGED",55,"WSO.B","TRMB","bmo",,
"CHANGED",56,"ALLE","WCC","bmo",,
"CHANGED",57,"CNH","AIZ","bmo","amc",
"CHANGED",58,"KRYAY","TIMB","--","amc",
"CHANGED",59,"SUNC","TMTNF","bmo","amc",
"CHANGED",60,"XP","JHX","--","amc",
"CHANGED",61,"TFII","ARMK","amc","bmo",
"CHANGED",62,"HALO","SAIA","--","bmo",
"CHANGED",63,"VMI","FINGF","bmo","amc",
"CHANGED",64,"KIROY","ADC","--","amc",
"CHANGED",65,"COMP","PEGA","--","amc",
"CHANGED",66,"ESI","AXTA","amc","bmo",
"CHANGED",67,"GKOS","LYFT","amc",,
"CHANGED",68,"TMSNY","KVYO","--","amc",
"CHANGED",69,"KRG","GXO","bmo","amc",
"CHANGED",70,"FOUR","RRR","--","amc",
"CHANGED",71,"TMICY","MIR","--","amc",
"CHANGED",72,"EDNMY","OS","--",,
"CHANGED",73,"RUSHB","LEU","amc",,
"CHANGED",74,"FELE","SLAB","bmo",,
"CHANGED",75,"WAY","UPST","bmo","amc",
"CHANGED",76,"ITRI","OSCR","bmo",,
"CHANGED",77,"KNF","LCII","bmo","--",
"CHANGED",78,"RSI","FRSH","amc",,
"CHANGED",79,"GBNXF","NMIH","amc",,
"CHANGED",80,"BELFB","HNGE","amc",,
"CHANGED",81,"BELFA","HIW","amc",,
"CHANGED",82,"ANDE","AKR","amc",,
"CHANGED",83,"IOSP","BLKB","amc","bmo",
"CHANGED",84,"HLMN","OI","bmo","amc",
"CHANGED",85,"ETOR","MTTRY","bmo","--",
"CHANGED",86,"RNW","IVT","--","amc",
"CHANGED",87,"ROG","GCMG","amc","bmo",
"CHANGED",88,"OERLF","DEI","--","amc",
"CHANGED",89,"LZB","JMIA","amc","bmo",
"CHANGED",90,"LGIH","NTST","bmo","amc",
"CHANGED",91,"DFIN","MBC","bmo","amc",
"CHANGED",92,"ESRT","CTS","amc","bmo",
"CHANGED",93,"CSR","GILT","amc","bmo",
"CHANGED",94,"JBGS","AMSSY","amc","--",
"CHANGED",95,"ORIC","INMD","--","bmo",
"CHANGED",96,"BPMUF","PAX","--","bmo",
"CHANGED",97,"GNK","UFCS","amc",,
"CHANGED",98,"DJCO","VSTS","--","bmo",
"CHANGED",99,"BRSP","ARVN","amc","--",
"CHANGED",100,"TRTX","BRCB","amc","--",
"CHANGED",101,"TCMD","HIVE","amc","--",
"CHANGED",102,"BXC","LUXE","--","bmo",
"CHANGED",103,"BBNX","VREX","amc",,
"CHANGED",104,"SB","ATEX","--",,
"CHANGED",105,"CEVA","LVWR","bmo",,
"CHANGED",106,"HCKT","SMWB","amc","--",
"CHANGED",107,"USNA","MNTN","amc",,
"CHANGED",108,"OEC","CCSI","bmo",,
"CHANGED",109,"SMWB","AII","amc","--",
"CHANGED",110,"CBDBY","TYGO","--",,
"CHANGED",111,"JELD","ELMD","amc",,
"CHANGED",112,"VENU","PAMT","bmo","--",
"CHANGED",113,"TRAK","OGI","amc","--",
"CHANGED",114,"STHO","UPXI","--","amc",
"CHANGED",115,"PDCC","YTRA","--",,
"CHANGED",116,"CNDA","JFBC","--",,
"CHANGED",117,"TPCS","FSP","amc","--",
"CHANGED",118,"KBSX","GNSS","--","amc",
"CHANGED",119,"MOBX","CPBI","--",,
"CHANGED",120,"LESL","SQNS","amc","bmo",
"CHANGED",121,"BABB","BIOX","--",,
"CHANGED",122,"CAPS","KFFB","--",,
"CHANGED",123,"MVCO","PLUR","--",,
"CHANGED",124,"ENLT","LEE","bmo",,
"CHANGED",125,"ENGGY","ARTW","--",,
"REMOVED",,,"BIVI",,"--",126
"REMOVED",,,"PCMC",,"--",127
"REMOVED",,,"CMPD",,"--",128
"REMOVED",,,"CYAN",,"--",129
"REMOVED",,,"CDSG",,"--",130
"REMOVED",,,"JFWV",,"--",131
"REMOVED",,,"RCDTF",,"--",132
"REMOVED",,,"PPRUY",,"--",133
"REMOVED",,,"DPMLF",,"amc",134
